Order_ID,Date,Region,Category,Product,Units_Sold,Unit_Price,Discount_Pct,Revenue,Profit,Channel
O000001,2025-10-31,South,Electronics,Headphones,3,25.19,20.6,59.97,10.97,Store
O000002,2025-01-03,East,Clothing,Jeans,11,36.32,16.7,332.84,52.21,Online
O000003,2025-07-12,West,Grocery,Milk,5,13.64,19.3,55.04,12.27,Store
O000004,2024-11-24,West,Home,Cookware,13,27.58,7.6,331.17,43.17,Online
O000005,2023-09-24,West,Grocery,Milk,1,64.89,15.6,54.77,8.19,Online
O000006,2024-05-27,East,Clothing,Jeans,14,40.91,17.7,471.29,120.48,Wholesale
O000007,2024-07-17,South,Grocery,Milk,4,29.53,3.1,114.41,17.39,Wholesale
O000008,2023-12-29,South,Grocery,Milk,1,27.73,0.9,27.49,4.94,Store
O000009,2024-02-13,North,Grocery,Milk,1,126.94,19.8,101.81,12.52,Store
O000010,2024-07-08,South,Grocery,Milk,7,26.97,3.7,181.73,55.97,Store
O000011,2023-01-05,South,Electronics,Headphones,15,13.65,24.1,155.48,33.77,Online
O000012,2025-03-15,West,Clothing,Jeans,12,38.88,10.5,417.76,115.38,Store
O000013,2023-02-27,North,Electronics,Headphones,9,78.06,10.2,631.0,179.81,Store
O000014,2024-06-06,East,Grocery,Milk,5,50.16,9.3,227.41,56.15,Store
O000015,2025-12-21,West,Grocery,Milk,2,59.25,18.3,96.82,18.02,Online
O000016,2023-10-27,North,Grocery,Milk,6,53.52,1.2,317.36,98.05,Store
O000017,2023-09-03,North,Grocery,Milk,9,46.38,19.9,334.43,54.55,Store
O000018,2023-01-21,West,Home,Cookware,13,55.06,8.6,654.34,186.72,Store
O000019,2023-12-29,North,Grocery,Milk,10,63.25,4.0,607.15,141.53,Store
O000020,2023-09-12,East,Beauty,Skincare,2,32.33,10.7,57.73,11.27,Store
O000021,2023-01-27,South,Clothing,Jeans,10,34.69,23.1,266.9,69.12,Online
O000022,2025-02-09,West,Grocery,Milk,5,9.7,0.6,48.2,13.36,Store
O000023,2023-02-04,East,Electronics,Headphones,10,76.34,7.0,710.34,86.85,Online
O000024,2024-08-09,North,Electronics,Headphones,15,10.25,15.3,130.29,31.59,Store
O000025,2025-05-10,South,Home,Cookware,7,28.45,9.2,180.86,23.74,Store
O000026,2025-04-20,East,Home,Cookware,15,17.75,9.5,240.84,41.99,Store
O000027,2023-04-29,West,Home,Cookware,7,53.94,15.4,319.49,101.29,Store
O000028,2025-12-07,South,Electronics,Headphones,9,44.21,3.8,382.72,103.74,Online
O000029,2025-11-19,East,Home,Cookware,6,51.87,13.6,268.79,79.14,Online
O000030,2025-06-25,East,Home,Cookware,12,14.8,3.6,171.22,21.74,Store
O000031,2023-07-26,North,Grocery,Milk,2,23.44,22.0,36.59,4.84,Store
O000032,2024-06-28,South,Electronics,Headphones,13,30.36,1.9,387.34,86.51,Store
O000033,2024-12-29,East,Grocery,Milk,12,127.24,23.7,1164.59,248.44,Store
O000034,2025-06-17,West,Beauty,Skincare,8,143.02,12.1,1005.79,274.96,Store
O000035,2023-08-23,West,Clothing,Jeans,1,58.6,18.2,47.95,10.55,Online
O000036,2025-06-10,North,Beauty,Skincare,9,41.27,1.0,367.56,52.2,Store
O000037,2025-11-30,West,Clothing,Jeans,11,83.03,18.2,746.72,220.78,Online
O000038,2024-10-01,West,Grocery,Milk,1,33.57,3.4,32.43,7.68,Store
O000039,2023-01-13,North,Grocery,Milk,13,21.7,10.9,251.45,34.09,Store
O000040,2025-08-28,West,Electronics,Headphones,8,50.37,8.5,368.52,71.14,Store
O000041,2023-09-22,South,Beauty,Skincare,2,24.16,22.5,37.44,8.46,Store
O000042,2024-07-11,South,Home,Cookware,15,103.46,22.8,1197.74,196.49,Store
O000043,2024-03-24,West,Home,Cookware,13,23.08,4.4,286.73,83.64,Online
O000044,2025-05-06,South,Electronics,Headphones,14,136.64,9.1,1739.11,267.21,Online
O000045,2023-06-22,North,Clothing,Jeans,9,49.2,20.3,353.05,90.47,Store
O000046,2023-07-15,West,Clothing,Jeans,11,17.83,23.5,149.97,34.94,Online
O000047,2024-01-16,South,Grocery,Milk,10,20.84,4.4,199.2,24.97,Store
O000048,2025-09-04,West,Home,Cookware,15,49.49,18.3,606.72,129.0,Wholesale
O000049,2023-06-04,South,Grocery,Milk,10,39.55,15.7,333.53,100.45,Wholesale
O000050,2024-08-14,South,Beauty,Skincare,10,64.21,8.5,587.37,109.86,Online
O000051,2025-09-24,East,Clothing,Jeans,15,36.85,13.0,480.85,96.79,Online
O000052,2024-12-29,North,Electronics,Headphones,14,57.22,2.2,783.43,162.71,Store
O000053,2023-06-12,South,Grocery,Milk,11,49.2,5.9,509.36,108.49,Store
O000054,2023-08-02,North,Clothing,Jeans,9,91.48,18.3,673.01,102.36,Store
O000055,2024-02-27,East,Beauty,Skincare,3,25.77,17.5,63.76,17.37,Online
O000056,2025-04-06,West,Electronics,Headphones,11,22.89,11.3,223.32,55.82,Online
O000057,2025-07-25,East,Electronics,Headphones,4,59.52,14.5,203.67,43.4,Online
O000058,2024-09-12,South,Electronics,Headphones,10,24.71,23.8,188.28,50.09,Store
O000059,2024-07-20,South,Grocery,Milk,12,36.52,8.4,401.52,113.92,Store
O000060,2023-12-01,East,Clothing,Jeans,6,19.42,9.3,105.64,22.63,Wholesale
O000061,2023-05-27,East,Beauty,Skincare,4,14.27,14.0,49.08,10.92,Store
O000062,2023-10-26,North,Home,Cookware,2,25.07,11.1,44.55,11.24,Online
O000063,2024-02-03,North,Electronics,Headphones,9,31.33,2.0,276.41,85.73,Store
O000064,2025-08-20,South,Electronics,Headphones,11,108.32,17.0,988.81,135.5,Online
O000065,2025-07-11,South,Home,Cookware,11,19.1,16.2,176.02,27.78,Store
O000066,2024-07-12,South,Beauty,Skincare,15,10.32,7.7,142.88,35.1,Wholesale
O000067,2024-03-20,West,Clothing,Jeans,12,37.59,23.2,346.42,58.17,Wholesale
O000068,2024-06-05,North,Grocery,Milk,12,21.43,24.4,194.37,57.34,Store
O000069,2024-08-12,South,Grocery,Milk,13,41.33,14.1,461.67,93.06,Store
O000070,2025-03-25,East,Grocery,Milk,5,44.45,19.4,179.06,37.09,Online
O000071,2025-12-22,West,Grocery,Milk,13,28.82,11.5,331.54,42.38,Store
O000072,2024-03-17,South,Grocery,Milk,11,25.26,10.1,249.93,34.95,Online
O000073,2025-10-29,East,Clothing,Jeans,1,22.76,15.8,19.17,3.29,Wholesale
O000074,2025-09-19,West,Grocery,Milk,11,24.69,9.0,247.08,62.63,Store
